,open_AAPL,high_AAPL,low_AAPL,close_AAPL,signal_AAPL,open_AMZN,high_AMZN,low_AMZN,close_AMZN,signal_AMZN,open_BABA,high_BABA,low_BABA,close_BABA,signal_BABA,open_BAC,high_BAC,low_BAC,close_BAC,signal_BAC,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,signal_GOOGL,open_INTC,high_INTC,low_INTC,close_INTC,signal_INTC,open_JPM,high_JPM,low_JPM,close_JPM,signal_JPM,open_META,high_META,low_META,close_META,signal_META,open_MSFT,high_MSFT,low_MSFT,close_MSFT,signal_MSFT,open_NFLX,high_NFLX,low_NFLX,close_NFLX,signal_NFLX,open_NVDA,high_NVDA,low_NVDA,close_NVDA,signal_NVDA,open_ORCL,high_ORCL,low_ORCL,close_ORCL,signal_ORCL,open_PFE,high_PFE,low_PFE,close_PFE,signal_PFE,open_T,high_T,low_T,close_T,signal_T,open_TSLA,high_TSLA,low_TSLA,close_TSLA,signal_TSLA,open_V,high_V,low_V,close_V,signal_V,open_WFC,high_WFC,low_WFC,close_WFC,signal_WFC,open_WMT,high_WMT,low_WMT,close_WMT,signal_WMT,open_XAU,high_XAU,low_XAU,close_XAU,signal_XAU,open_US500,high_US500,low_US500,close_US500,signal_US500,open_BTCUSD,high_BTCUSD,low_BTCUSD,close_BTCUSD,signal_BTCUSD,open_AUDJPY,high_AUDJPY,low_AUDJPY,close_AUDJPY,signal_AUDJPY,open_EURUSD,high_EURUSD,low_EURUSD,close_EURUSD,signal_EURUSD,open_GBPUSD,high_GBPUSD,low_GBPUSD,close_GBPUSD,signal_GBPUSD,open_USDCAD,high_USDCAD,low_USDCAD,close_USDCAD,signal_USDCAD,open_USDCHF,high_USDCHF,low_USDCHF,close_USDCHF,signal_USDCHF,open_USDJPY,high_USDJPY,low_USDJPY,close_USDJPY,signal_USDJPY
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.01,3239.22,3233.44,3236.48,0.0,7172.01,7239.99,7149.41,7180.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,74.32,74.9,74.14,74.89,0.0,93.89,94.84,93.2,94.61,0.0,218.76,219.9,217.69,219.25,0.0,35.36,35.61,35.27,35.56,0.0,67.96,68.35,67.45,68.33,0.0,60.76,60.93,60.44,60.7,0.0,138.88,140.08,138.39,139.92,0.0,206.95,209.2,206.24,209.08,0.0,159.22,160.14,158.68,160.03,0.0,328.19,329.56,324.7,329.02,0.0,5.97,6.0,5.92,5.99,0.0,53.35,53.62,53.2,53.54,0.0,39.03,39.06,38.75,38.9,0.0,38.6,38.76,38.45,38.64,0.0,0.0,0.0,0.0,0.0,0.0,189.44,190.82,189.44,190.74,0.0,53.68,54.0,53.49,53.66,0.0,39.78,39.94,39.57,39.63,0.0,1518.513,1531.324,1517.221,1528.792,0.0,3236.1,3262.21,3234.38,3259.77,0.0,7180.82,7188.94,6907.18,6950.71,0.0,76.248,76.3,75.671,75.799,0.0,1.12181,1.12243,1.11634,1.11706,0.0,1.32566,1.32656,1.31152,1.31464,0.0,1.29769,1.30076,1.29682,1.29838,0.0,0.96825,0.97324,0.96768,0.97142,0.0,108.698,108.861,108.21,108.537,0.0
2020-01-03,74.78,75.12,74.37,74.57,0.0,93.85,94.3,93.47,93.64,0.0,217.12,218.12,216.33,216.81,0.0,34.84,35.11,34.74,34.92,0.0,67.88,68.65,67.87,68.2,0.0,60.31,60.49,59.98,60.29,0.0,137.71,139.19,137.54,138.66,0.0,209.12,210.35,207.96,208.96,0.0,159.55,159.84,158.97,159.09,0.0,327.07,329.72,325.49,327.01,0.0,5.93,5.94,5.89,5.92,0.0,53.79,53.85,53.54,53.7,0.0,38.73,39.1,38.73,38.84,0.0,38.66,38.89,38.6,38.8,0.0,0.0,0.0,0.0,0.0,0.0,189.73,190.92,189.56,190.08,0.0,52.97,53.58,52.92,53.37,0.0,39.48,39.51,39.19,39.32,0.0,1528.774,1553.468,1528.774,1549.007,0.0,3260.0,3261.5,3205.84,3234.44,0.0,6950.74,7403.38,6852.23,7338.25,0.0,75.798,75.799,74.851,75.162,0.0,1.11706,1.11795,1.11248,1.11612,0.0,1.31467,1.31599,1.30533,1.3073,0.0,1.29838,1.30044,1.29606,1.29884,0.0,0.97143,0.97433,0.96878,0.97218,0.0,108.539,108.56,107.842,108.092,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7338.55,7394.96,7267.11,7345.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.398,1582.228,1566.904,1569.265,0.0,3220.09,3223.23,3215.21,3223.01,0.0,7345.46,7487.37,7310.0,7352.38,0.0,74.904,74.959,74.744,74.956,0.0,1.11631,1.11666,1.11577,1.11602,0.0,1.30829,1.3083,1.3066,1.30765,0.0,1.29876,1.29886,1.29848,1.29884,0.0,0.97096,0.97144,0.97062,0.97144,0.0,107.889,107.954,107.767,107.951,0.0
2020-01-06,73.9,74.97,73.72,74.83,0.0,93.38,94.97,93.38,94.9,0.0,215.03,217.09,214.64,216.08,0.0,34.56,34.83,34.55,34.74,0.0,68.28,69.88,68.28,69.8,0.0,59.8,60.16,59.69,59.79,0.0,136.79,137.84,136.76,137.76,0.0,208.74,212.12,208.71,212.05,0.0,157.56,158.8,157.48,158.45,0.0,323.12,335.74,323.11,335.58,0.0,5.8100000000000005,5.93,5.8100000000000005,5.92,0.0,53.44,53.95,53.4,53.75,0.0,38.72,38.83,38.62,38.71,0.0,38.57,38.68,38.37,38.67,0.0,0.0,0.0,0.0,0.0,0.0,187.69,189.1,187.69,188.45,0.0,52.82,53.16,52.78,52.97,0.0,39.24,39.35,38.93,39.12,0.0,1569.2,1580.015,1560.867,1563.755,0.0,3222.07,3248.56,3208.05,3241.81,0.0,7352.42,7791.31,7342.67,7750.87,0.0,74.961,75.267,74.85,75.197,0.0,1.11603,1.12052,1.1157,1.11952,0.0,1.30769,1.31758,1.30636,1.31705,0.0,1.29888,1.2989,1.29593,1.29635,0.0,0.97154,0.97163,0.96761,0.96848,0.0,107.959,108.503,107.914,108.402,0.0
2020-01-07,74.76,75.09,74.36,74.86,0.0,94.71,95.67,94.66,95.32,0.0,217.04,218.88,216.64,218.4,0.0,34.81,34.84,34.51,34.67,0.0,69.74,70.16,69.58,69.82,0.0,59.2,59.43,58.89,59.07,0.0,137.56,137.63,135.83,136.15,0.0,211.98,214.5,211.73,212.93,0.0,158.79,159.02,157.72,157.98,0.0,331.65,333.56,330.2,331.2,0.0,5.95,6.04,5.91,6.01,0.0,53.51,54.06,53.36,53.99,0.0,38.73,38.82,38.53,38.62,0.0,38.55,38.82,38.52,38.76,0.0,0.0,0.0,0.0,0.0,0.0,189.33,190.06,188.77,188.97,0.0,52.9,52.92,52.45,52.73,0.0,39.12,39.12,38.72,38.85,0.0,1563.772,1598.393,1555.326,1595.062,0.0,3242.0,3253.56,3195.38,3202.65,0.0,7751.01,8196.76,7716.22,8149.06,0.0,75.199,75.259,73.878,74.074,0.0,1.11952,1.11968,1.11334,1.11529,0.0,1.31708,1.32118,1.30952,1.31125,0.0,1.29635,1.30289,1.29565,1.30009,0.0,0.96853,0.97292,0.9683,0.9687,0.0,108.407,108.625,107.834,107.99,0.0
2020-01-08,74.5,76.09,74.33,75.97,0.0,95.26,95.52,94.32,95.03,0.0,217.42,220.59,217.16,219.2,0.0,34.81,35.15,34.71,35.01,0.0,70.0,70.57,69.72,70.43,0.0,58.98,59.28,58.5,59.19,0.0,136.28,137.55,136.17,137.26,0.0,213.92,216.2,212.59,215.79,0.0,158.39,160.7,158.1,160.35,0.0,332.91,342.57,332.12,341.52,0.0,5.99,6.05,5.95,6.02,0.0,53.92,54.56,53.79,54.37,0.0,38.78,39.12,38.77,39.07,0.0,39.03,39.05,38.88,38.98,0.0,0.0,0.0,0.0,0.0,0.0,189.84,192.47,189.84,192.15,0.0,53.06,53.29,52.83,53.04,0.0,38.85,38.86,38.56,38.82,0.0,1595.012,1611.414,1552.271,1558.071,0.0,3191.39,3266.92,3180.58,3260.54,0.0,8148.59,8450.38,7861.99,8038.16,0.0,74.077,75.065,73.757,74.959,0.0,1.11536,1.11679,1.11021,1.11126,0.0,1.31132,1.3169,1.30804,1.31046,0.0,1.30007,1.30431,1.2976,1.30357,0.0,0.96874,0.97393,0.9665,0.97324,0.0,107.992,109.239,107.649,109.032,0.0
2020-01-09,77.1,77.58,76.54,77.26,0.0,95.63,95.7,94.79,95.07,0.0,222.31,223.01,220.76,221.33,0.0,35.06,35.11,34.92,34.96,0.0,71.28,71.3,70.5,70.94,0.0,59.2,59.33,58.81,59.27,0.0,137.68,137.74,137.02,137.31,0.0,217.06,218.2,216.24,218.1,0.0,162.02,162.12,160.96,161.65,0.0,340.5,340.59,334.63,335.32,0.0,6.09,6.15,6.02,6.07,0.0,54.77,54.77,54.01,54.27,0.0,38.93,39.1,38.71,38.82,0.0,38.9,38.91,38.53,38.86,0.0,0.0,0.0,0.0,0.0,0.0,193.48,193.6,192.46,193.13,0.0,52.81,52.81,52.46,52.63,0.0,38.82,39.06,38.76,39.04,0.0,1558.065,1561.306,1540.263,1552.675,0.0,3261.54,3277.58,3256.61,3276.95,0.0,8037.8,8037.8,7737.76,7804.56,0.0,74.961,75.198,74.948,75.04,0.0,1.11127,1.11202,1.10927,1.11088,0.0,1.3105,1.31234,1.30128,1.30687,0.0,1.30358,1.3104,1.30257,1.3062,0.0,0.97327,0.97476,0.9711,0.97313,0.0,109.034,109.576,109.029,109.491,0.0
2020-01-10,77.56,78.14,77.05,77.4,0.0,94.56,95.04,94.02,94.09,0.0,222.44,225.9,222.36,223.19,0.0,34.88,35.03,34.64,34.67,0.0,70.98,71.71,70.97,71.36,0.0,59.86,60.03,58.85,58.92,0.0,136.54,137.05,135.78,135.89,0.0,217.65,219.83,217.38,217.81,0.0,162.24,163.13,161.23,161.31,0.0,333.75,334.87,327.22,327.81,0.0,6.16,6.2,6.09,6.1,0.0,54.33,54.61,54.19,54.34,0.0,39.31,39.53,39.2,39.28,0.0,38.8,38.91,38.58,38.59,0.0,0.0,0.0,0.0,0.0,0.0,193.47,194.54,193.17,193.31,0.0,52.65,52.86,52.46,52.48,0.0,38.76,38.91,38.65,38.73,0.0,1552.639,1560.984,1545.716,1560.264,0.0,3276.69,3285.86,3259.71,3262.37,0.0,7804.43,8184.59,7666.68,8183.2,0.0,75.04,75.694,75.027,75.623,0.0,1.1109,1.11288,1.1085,1.1121,0.0,1.30691,1.30967,1.30422,1.30554,0.0,1.30623,1.3075,1.30286,1.3061,0.0,0.97315,0.97617,0.97197,0.97282,0.0,109.492,109.683,109.434,109.502,0.0
