timestamp,open,high,low,close,volume
2020-01-02,328.19,329.56,324.7,329.02,5687
2020-01-03,327.07,329.72,325.49,327.01,5643
2020-01-06,323.12,335.74,323.11,335.58,6665
2020-01-07,331.65,333.56,330.2,331.2,6000
2020-01-08,332.91,342.57,332.12,341.52,7844
2020-01-09,340.5,340.59,334.63,335.32,6449
2020-01-10,333.75,334.87,327.22,327.81,6521
2020-01-13,332.98,340.67,331.47,337.49,6562
2020-01-14,340.83,341.22,335.39,338.33,7201
2020-01-15,338.62,343.02,337.16,337.96,5868
2020-01-16,340.66,341.58,335.82,338.2,6246
2020-01-17,338.92,341.43,337.29,339.16,6228
2020-01-21,334.78,339.79,333.03,339.48,8678
2020-01-22,330.27,336.13,323.52,325.52,11423
2020-01-23,329.11,347.08,326.79,347.02,12468
2020-01-24,352.16,359.73,346.74,352.86,12520
2020-01-27,348.94,349.48,340.89,342.7,8404
2020-01-28,343.0,352.22,343.0,349.52,7090
2020-01-29,345.94,347.06,338.46,342.91,8503
2020-01-30,346.37,347.84,339.27,346.74,6894
2020-01-31,345.62,345.84,340.82,344.39,8241
2020-02-03,350.05,359.49,349.4,358.11,8318
2020-02-04,357.3,368.67,356.96,368.48,8571
2020-02-05,370.18,372.17,362.15,369.56,8290
2020-02-06,367.39,371.26,364.76,365.97,7320
2020-02-07,364.04,371.68,363.39,367.27,7351
2020-02-10,366.56,374.61,366.24,370.0,7076
2020-02-11,371.73,377.94,371.25,374.17,7697
2020-02-12,378.27,380.49,376.03,379.07,6668
2020-02-13,380.1,385.17,379.44,382.08,7543
2020-02-14,381.66,385.02,379.48,379.65,8084
2020-02-18,384.47,389.41,383.21,389.27,7104
2020-02-19,388.98,392.65,384.86,385.41,6906
2020-02-20,388.13,388.82,376.54,385.69,8171
2020-02-21,384.84,385.42,377.86,378.84,10416
2020-02-24,369.27,372.65,363.8,368.45,10866
2020-02-25,374.88,375.3,357.63,358.99,13796
2020-02-26,371.2,380.88,369.8,380.11,13505
2020-02-27,380.12,391.34,373.65,376.43,16035
2020-02-28,374.07,375.43,356.69,358.8,16463
2020-03-02,371.79,377.35,364.47,376.71,14103
2020-03-03,379.21,393.26,367.31,371.32,14928
2020-03-04,372.36,383.06,370.47,381.35,9943
2020-03-05,379.04,391.2,368.56,371.93,14162
2020-03-06,365.71,370.69,356.8,365.86,14947
2020-03-09,348.49,356.88,342.57,349.48,13644
2020-03-10,358.86,362.08,347.74,360.3,12491
2020-03-11,356.58,360.83,344.72,347.99,12611
2020-03-12,328.05,335.2,307.14,315.47,14194
2020-03-13,322.05,328.96,307.19,324.33,12565
2020-03-16,313.25,334.0,306.18,310.44,13178
2020-03-17,300.58,322.33,290.22,321.11,13657
2020-03-18,313.19,331.2,303.14,307.48,13125
2020-03-19,322.56,348.04,319.17,338.9,12497
2020-03-20,339.24,349.7,333.06,334.25,11519
2020-03-23,351.39,365.9,348.14,362.61,14129
2020-03-24,366.58,367.49,353.01,356.55,13085
2020-03-25,352.57,355.33,344.98,346.16,12292
2020-03-26,350.79,359.0,345.4,357.47,12849
2020-03-27,355.52,368.24,352.92,361.76,12304
2020-03-30,366.05,377.41,365.45,372.27,10758
2020-03-31,373.95,382.61,366.5,371.81,11535
2020-04-01,374.1,374.43,360.98,361.56,9830
2020-04-02,367.63,369.3,359.96,367.35,11090
2020-04-03,367.35,368.36,357.39,359.75,13376
2020-04-06,373.61,376.8,367.75,376.12,9831
2020-04-07,378.7,380.41,369.22,372.4,14430
2020-04-08,377.26,377.93,368.18,368.74,14385
2020-04-09,369.54,371.92,363.09,370.2,14508
2020-04-13,379.84,399.73,379.61,399.59,14680
2020-04-14,402.18,417.68,394.81,414.73,15531
2020-04-15,418.54,434.78,412.5,427.08,17955
2020-04-16,433.23,449.38,432.97,436.37,25776
2020-04-17,423.2,430.21,414.6,421.62,20780
2020-04-20,434.05,444.26,433.22,438.01,17154
2020-04-21,438.47,443.54,425.52,440.16,13929
2020-04-22,419.4,429.54,413.02,422.96,14006
2020-04-23,429.7,438.14,424.46,425.63,25458
2020-04-24,421.63,427.01,415.82,425.05,19926
2020-04-27,423.07,428.85,421.76,424.74,14432
2020-04-28,415.55,415.91,403.19,405.5,22483
2020-04-29,397.28,414.6,397.12,414.24,21601
2020-04-30,415.56,424.26,414.54,417.92,24055
2020-05-01,419.26,427.76,411.67,414.6,22582
2020-05-04,420.25,428.44,417.18,427.09,20006
2020-05-05,423.65,430.85,421.49,423.15,15893
2020-05-06,432.41,439.6,428.7,435.93,18901
2020-05-07,436.14,438.76,430.54,434.43,16408
2020-05-08,438.31,441.86,433.9,434.87,12919
2020-05-11,439.92,444.78,437.72,442.95,15267
2020-05-12,439.28,444.05,433.71,433.95,13514
2020-05-13,436.87,446.81,427.11,436.93,25397
2020-05-14,449.12,450.51,432.74,439.67,28207
2020-05-15,440.43,452.61,437.46,450.19,20192
2020-05-18,444.91,456.17,443.17,452.0,17977
2020-05-19,456.41,458.78,450.35,452.39,15149
2020-05-20,454.0,455.04,443.91,447.66,18225
2020-05-21,445.04,445.06,430.19,434.82,19462
2020-05-22,433.1,438.96,427.11,427.69,14997
2020-05-26,421.26,423.42,413.44,413.69,13202
2020-05-27,412.85,418.79,397.69,418.77,17202
2020-05-28,418.33,422.22,413.68,414.21,12761
2020-05-29,419.23,420.06,411.79,417.85,15018
2020-06-01,418.53,425.43,415.8,424.89,9479
2020-06-02,423.56,427.4,419.42,426.42,10009
2020-06-03,421.65,424.33,418.0,422.68,10668
2020-06-04,426.24,428.51,410.02,412.23,11013
2020-06-05,410.25,420.1,409.64,418.84,12221
2020-06-08,411.91,420.71,406.43,419.71,10380
2020-06-09,425.2,434.56,424.05,433.82,11491
2020-06-10,437.27,438.31,430.52,436.42,13096
2020-06-11,436.43,445.48,424.04,428.57,18129
2020-06-12,432.29,433.87,412.25,415.33,17537
2020-06-15,418.84,425.78,415.29,423.64,16594
2020-06-16,430.33,437.67,428.19,434.45,17438
2020-06-17,442.67,450.37,441.06,446.12,14034
2020-06-18,449.15,449.38,442.71,448.84,11594
2020-06-19,448.22,452.47,445.52,451.76,12612
2020-06-22,460.88,467.07,455.86,466.58,10407
2020-06-23,468.36,473.91,466.0,466.78,10902
2020-06-24,470.54,471.29,453.91,460.22,15254
2020-06-25,455.99,466.56,453.76,466.22,11095
2020-06-26,463.71,463.93,442.16,444.11,16778
2020-06-29,438.1,447.56,432.09,444.4,11140
2020-06-30,449.35,457.47,448.27,455.02,8424
2020-07-01,455.63,486.98,455.43,485.97,14158
2020-07-02,487.71,489.45,475.83,479.52,10956
2020-07-06,480.43,499.29,479.66,492.7,12481
2020-07-07,495.68,501.97,490.78,494.17,11134
2020-07-08,497.45,504.9,493.69,502.44,10305
2020-07-09,501.59,509.72,495.57,506.92,11420
2020-07-10,518.43,555.63,511.22,547.8,20211
2020-07-13,567.02,575.1,527.79,534.8,20909
2020-07-14,517.84,524.66,490.48,518.76,23320
2020-07-15,515.0,528.71,510.22,522.12,16696
2020-07-16,521.82,535.28,504.28,528.06,20978
2020-07-17,492.36,496.51,484.08,490.39,20293
2020-07-20,488.72,503.17,486.51,502.36,15642
2020-07-21,495.88,500.13,489.08,490.91,14407
2020-07-22,492.84,497.06,487.12,489.77,13344
2020-07-23,488.52,490.63,471.99,475.83,15674
2020-07-24,474.4,486.96,471.02,479.98,15075
2020-07-27,485.91,496.72,482.81,496.3,14609
2020-07-28,491.38,495.43,487.7,487.71,11889
2020-07-29,493.29,494.7,483.99,486.16,11292
2020-07-30,483.31,488.19,477.5,485.97,14351
2020-07-31,489.05,494.68,484.38,487.27,14743
2020-08-03,492.23,502.96,491.69,499.3,12699
2020-08-04,503.46,510.18,501.4,508.27,13931
2020-08-05,505.76,508.45,501.62,501.72,10707
2020-08-06,500.97,510.62,498.58,509.05,12575
2020-08-07,505.23,505.62,486.55,492.47,17294
2020-08-10,495.9,497.08,478.4,483.33,13871
2020-08-11,476.9,480.77,468.9,469.81,15886
2020-08-12,476.33,482.29,473.43,475.7,13216
2020-08-13,479.31,484.33,477.96,481.93,12347
2020-08-14,487.56,488.19,480.16,480.97,10659
2020-08-17,482.14,486.05,478.91,484.17,8100
2020-08-18,485.62,495.15,485.23,493.25,10984
2020-08-19,489.53,490.95,483.77,485.35,10092
2020-08-20,488.43,497.69,488.06,497.26,10062
2020-08-21,492.68,496.6,490.82,491.08,9181
2020-08-24,493.78,500.72,483.14,487.55,10818
2020-08-25,486.94,492.23,485.01,489.17,8457
2020-08-26,498.45,548.71,498.07,545.71,20105
2020-08-27,533.82,540.64,521.11,527.5,16046
2020-08-28,534.52,535.31,522.07,523.07,10886
2020-08-31,523.16,531.7,517.47,530.32,10937
2020-09-01,540.76,557.22,539.1,555.35,13729
2020-09-02,548.8,553.85,537.26,551.85,13062
2020-09-03,546.34,553.54,521.2,527.52,19341
2020-09-04,526.2,526.97,485.89,514.4,21554
2020-09-08,504.56,521.74,498.2,508.15,15293
2020-09-09,508.93,512.02,492.48,498.74,15936
2020-09-10,501.75,505.9,478.67,482.09,16543
2020-09-11,487.84,493.41,476.68,481.95,14881
2020-09-14,479.89,488.62,471.2,477.25,13262
2020-09-15,488.35,497.34,486.18,493.05,13466
2020-09-16,500.64,501.36,483.18,485.12,12517
2020-09-17,476.23,477.47,463.15,467.47,15222
2020-09-18,468.26,479.28,458.66,466.09,15022
