timestamp,open,high,low,close,volume
2020-01-02,35.36,35.61,35.27,35.56,661
2020-01-03,34.84,35.11,34.74,34.92,1229
2020-01-06,34.56,34.83,34.55,34.74,615
2020-01-07,34.81,34.84,34.51,34.67,680
2020-01-08,34.81,35.15,34.71,35.01,817
2020-01-09,35.06,35.11,34.92,34.96,660
2020-01-10,34.88,35.03,34.64,34.67,697
2020-01-13,34.73,34.96,34.64,34.95,563
2020-01-14,35.21,35.58,35.06,35.27,1174
2020-01-15,34.56,34.7,34.42,34.47,1122
2020-01-16,34.78,34.83,34.58,34.72,747
2020-01-17,34.73,34.8,34.57,34.63,593
2020-01-21,34.37,34.48,34.28,34.32,632
2020-01-22,34.33,34.39,34.21,34.35,511
2020-01-23,33.85,34.22,33.71,34.16,824
2020-01-24,33.95,33.96,33.25,33.41,1305
2020-01-27,32.9,33.09,32.77,32.81,1502
2020-01-28,33.01,33.45,32.92,33.29,817
2020-01-29,33.36,33.4,32.98,33.09,1035
2020-01-30,32.94,33.36,32.65,33.35,1853
2020-01-31,32.99,33.1,32.63,32.75,1917
2020-02-03,33.21,33.36,33.0,33.05,1256
2020-02-04,33.49,33.82,33.46,33.62,956
2020-02-05,34.08,34.72,34.02,34.65,1269
2020-02-06,34.7,34.74,34.53,34.65,1022
2020-02-07,34.44,34.57,34.35,34.57,1127
2020-02-10,34.39,34.55,34.3,34.5,736
2020-02-11,34.76,34.94,34.71,34.77,870
2020-02-12,35.07,35.34,34.69,34.86,999
2020-02-13,34.72,34.93,34.47,34.82,1016
2020-02-14,34.71,34.88,34.61,34.74,959
2020-02-18,34.53,34.61,33.93,34.17,1060
2020-02-19,34.4,34.75,34.39,34.66,744
2020-02-20,34.59,34.98,34.47,34.76,1788
2020-02-21,34.42,34.44,34.04,34.12,1557
2020-02-24,32.94,33.09,32.44,32.62,2235
2020-02-25,32.43,32.66,30.75,30.88,5507
2020-02-26,31.33,31.49,30.46,30.58,4929
2020-02-27,29.58,30.2,28.83,29.22,7219
2020-02-28,28.49,28.64,27.6,27.6,10003
2020-03-02,27.65,28.7,27.3,28.58,6235
2020-03-03,28.69,29.55,27.44,27.87,9540
2020-03-04,27.45,28.17,27.21,28.04,5111
2020-03-05,26.99,27.31,26.38,26.54,4368
2020-03-06,25.69,26.17,25.22,25.45,6494
2020-03-09,23.09,23.15,21.49,21.82,2824
2020-03-10,22.84,23.62,21.57,23.42,2707
2020-03-11,22.63,23.92,22.24,22.69,7576
2020-03-12,20.96,22.82,20.49,20.6,5304
2020-03-13,22.04,22.93,21.65,22.93,5815
2020-03-16,20.69,21.68,19.97,20.82,5050
2020-03-17,20.56,22.64,20.01,21.92,5770
2020-03-18,20.51,20.93,19.68,19.79,6674
2020-03-19,19.58,21.56,18.99,21.52,6380
2020-03-20,20.63,21.39,19.58,19.75,10950
2020-03-23,19.2,19.23,17.92,18.02,10624
2020-03-24,19.21,20.8,19.08,20.72,7962
2020-03-25,21.73,22.06,20.39,21.82,8801
2020-03-26,21.46,22.54,21.18,22.38,7913
2020-03-27,21.35,22.16,21.07,21.61,5752
2020-03-30,21.46,22.31,21.41,22.04,4456
2020-03-31,21.77,22.45,20.94,21.29,3816
2020-04-01,20.15,20.31,19.49,19.5,3134
2020-04-02,19.88,20.75,19.62,20.31,5538
2020-04-03,20.51,20.7,19.69,19.74,4152
2020-04-06,21.43,21.56,20.79,21.28,2683
2020-04-07,22.54,22.84,21.82,22.23,5748
2020-04-08,22.6,23.45,22.41,23.3,3613
