timestamp,open,high,low,close,volume
2020-01-02,60.76,60.93,60.44,60.7,1678
2020-01-03,60.31,60.49,59.98,60.29,2528
2020-01-06,59.8,60.16,59.69,59.79,2089
2020-01-07,59.2,59.43,58.89,59.07,2228
2020-01-08,58.98,59.28,58.5,59.19,2213
2020-01-09,59.2,59.33,58.81,59.27,2186
2020-01-10,59.86,60.03,58.85,58.92,2612
2020-01-13,59.14,59.74,59.11,59.55,2036
2020-01-14,59.51,59.7,59.16,59.37,2458
2020-01-15,59.27,59.6,58.73,58.77,2512
2020-01-16,59.16,59.64,59.15,59.64,1890
2020-01-17,59.59,59.67,59.23,59.5,1642
2020-01-21,60.6,61.21,60.48,60.66,2616
2020-01-22,61.34,62.5,61.21,62.48,2314
2020-01-23,62.89,63.67,62.8,63.37,3255
2020-01-24,68.33,69.25,67.65,68.05,9564
2020-01-27,66.77,67.13,65.62,65.76,5473
2020-01-28,66.45,67.55,65.93,67.37,3847
2020-01-29,67.25,67.54,66.15,66.3,4278
2020-01-30,66.09,66.22,64.91,66.15,5519
2020-01-31,65.43,65.45,63.65,63.83,6710
2020-02-03,64.63,65.0,64.28,64.51,3967
2020-02-04,64.95,65.55,64.76,65.18,2966
2020-02-05,65.97,67.26,65.84,66.99,4607
2020-02-06,66.88,67.2,66.75,66.94,3233
2020-02-07,66.63,66.88,66.11,66.24,2929
2020-02-10,65.82,66.21,65.45,66.17,2488
2020-02-11,66.77,67.67,66.58,67.31,3740
2020-02-12,67.79,68.05,67.29,67.56,2834
2020-02-13,66.94,67.61,66.73,67.41,3397
2020-02-14,67.55,67.83,66.8,67.05,2754
2020-02-18,66.44,66.55,65.86,66.15,2966
2020-02-19,66.41,66.99,66.3,66.96,2194
2020-02-20,66.38,66.38,64.56,65.38,5541
2020-02-21,64.87,64.94,64.02,64.16,5586
2020-02-24,62.08,62.74,61.81,62.13,7442
2020-02-25,61.81,61.84,59.44,59.72,11472
2020-02-26,60.35,60.78,59.26,59.72,10484
2020-02-27,58.36,58.38,56.62,56.63,12780
2020-02-28,54.9,56.34,53.76,53.78,17781
2020-03-02,54.82,57.34,54.5,57.13,11873
2020-03-03,57.46,58.98,55.38,56.42,16813
2020-03-04,56.41,58.45,56.13,58.19,9472
2020-03-05,57.78,58.63,56.59,56.88,10572
2020-03-06,55.26,55.97,54.53,55.31,11609
2020-03-09,51.94,52.67,49.98,51.76,11766
2020-03-10,51.84,53.44,50.4,53.03,10329
2020-03-11,52.96,53.5,50.98,51.8,11474
2020-03-12,49.07,50.03,46.41,46.86,15281
2020-03-13,48.93,50.43,47.73,50.05,12821
2020-03-16,49.14,52.19,46.64,47.55,14476
2020-03-17,45.96,51.59,45.18,50.62,15753
2020-03-18,47.47,50.0,45.34,45.71,16117
2020-03-19,46.0,49.18,45.15,46.57,15087
2020-03-20,46.99,49.39,46.01,46.77,17046
2020-03-23,48.02,50.44,47.2,48.39,16481
2020-03-24,52.94,53.72,51.32,52.6,15318
2020-03-25,52.56,53.75,49.89,52.5,15376
2020-03-26,54.09,55.24,53.13,54.49,14810
2020-03-27,53.3,54.6,52.64,53.39,12892
2020-03-30,54.05,56.02,53.94,55.11,11305
2020-03-31,55.34,55.72,53.23,53.53,10730
2020-04-01,52.73,54.6,51.37,51.44,10924
2020-04-02,52.33,54.48,51.3,53.99,13861
2020-04-03,54.78,55.05,52.65,53.32,10350
2020-04-06,57.16,57.94,56.51,57.9,7715
2020-04-07,59.11,61.41,58.56,59.34,13446
2020-04-08,59.18,59.3,57.84,58.61,10301
2020-04-09,58.98,59.01,55.99,56.52,12039
2020-04-13,57.53,58.51,57.5,58.42,8794
2020-04-14,59.78,60.82,59.5,60.37,8470
2020-04-15,59.02,59.4,58.32,58.92,8512
2020-04-16,59.62,60.65,58.74,60.42,9760
2020-04-17,60.94,61.67,59.77,60.52,8452
2020-04-20,59.18,59.96,58.98,59.34,7645
2020-04-21,57.9,58.37,55.87,56.61,9918
2020-04-22,58.66,60.33,58.55,60.24,7083
2020-04-23,59.64,59.99,58.74,59.13,12383
2020-04-24,57.37,59.33,56.75,59.21,12092
2020-04-27,59.11,59.42,58.3,59.37,6289
2020-04-28,59.7,59.78,58.18,59.13,7968
2020-04-29,59.77,61.95,59.7,61.86,7961
2020-04-30,60.76,60.8,59.67,60.09,8414
2020-05-01,59.23,59.27,57.41,57.53,7540
