timestamp,open,high,low,close,volume
2020-01-02,138.88,140.08,138.39,139.92,4641
2020-01-03,137.71,139.19,137.54,138.66,6014
2020-01-06,136.79,137.84,136.76,137.76,4492
2020-01-07,137.56,137.63,135.83,136.15,4422
2020-01-08,136.28,137.55,136.17,137.26,5391
2020-01-09,137.68,137.74,137.02,137.31,4719
2020-01-10,136.54,137.05,135.78,135.89,4374
2020-01-13,136.07,137.01,135.72,136.92,4393
2020-01-14,140.28,140.73,138.57,138.63,6392
2020-01-15,138.52,138.53,136.12,136.38,5466
2020-01-16,137.41,137.85,136.81,137.11,4684
2020-01-17,137.59,138.24,137.43,137.92,4258
2020-01-21,137.45,138.03,136.94,137.01,4758
2020-01-22,137.22,137.22,136.35,136.8,4198
2020-01-23,135.32,136.71,134.68,136.55,4585
2020-01-24,135.88,135.93,132.28,132.93,6737
2020-01-27,131.07,132.92,130.85,132.28,7474
2020-01-28,132.82,134.93,132.44,134.8,5498
2020-01-29,135.01,135.51,133.66,134.82,6092
2020-01-30,134.57,135.6,133.15,135.52,8548
2020-01-31,134.26,134.27,131.44,132.0,8753
2020-02-03,133.53,134.21,133.06,133.44,6743
2020-02-04,135.55,136.56,135.22,135.67,5488
2020-02-05,136.78,137.7,135.99,137.57,6217
2020-02-06,137.48,137.97,137.08,137.78,4993
2020-02-07,136.87,137.61,136.71,137.59,5330
2020-02-10,137.16,137.83,136.84,137.54,4034
2020-02-11,138.36,138.8,137.75,138.2,4728
2020-02-12,138.99,139.26,137.78,138.16,4433
2020-02-13,137.52,138.31,136.36,137.83,5165
2020-02-14,137.47,138.08,136.92,137.34,4447
2020-02-18,136.98,137.21,135.03,135.74,5411
2020-02-19,136.7,138.35,136.69,137.58,4318
2020-02-20,137.44,138.33,136.52,137.45,7922
2020-02-21,136.3,136.41,134.9,135.19,7753
2020-02-24,132.5,133.17,131.29,132.31,9587
2020-02-25,131.73,132.2,125.56,126.29,15336
2020-02-26,128.22,128.92,126.31,126.97,15908
2020-02-27,124.59,125.58,121.34,122.56,17069
2020-02-28,117.73,117.89,112.66,112.66,24424
2020-03-02,114.94,119.79,114.42,119.35,18524
2020-03-03,118.89,122.71,116.23,117.51,21840
2020-03-04,116.46,120.0,114.66,119.35,14862
2020-03-05,114.68,116.37,112.55,112.97,15360
2020-03-06,108.68,110.28,106.25,107.47,18728
2020-03-09,97.62,98.62,92.98,94.24,16118
2020-03-10,97.06,101.21,94.54,100.26,13589
2020-03-11,96.65,99.98,94.53,95.98,16783
2020-03-12,89.84,96.68,86.73,89.52,13889
2020-03-13,93.82,99.47,92.5,99.08,15013
2020-03-16,89.05,93.86,87.18,89.6,13833
2020-03-17,88.61,97.31,87.48,94.55,14394
2020-03-18,88.52,89.81,80.34,80.83,12948
2020-03-19,79.36,88.04,76.81,85.86,13105
2020-03-20,83.17,89.33,82.38,83.41,14953
2020-03-23,81.35,82.17,78.04,79.11,19353
2020-03-24,84.26,89.99,83.97,88.65,18247
2020-03-25,89.6,95.11,84.5,94.19,20459
2020-03-26,94.93,97.81,93.5,96.12,20052
2020-03-27,93.29,93.67,90.93,91.46,16135
2020-03-30,89.51,93.87,89.21,93.2,14714
2020-03-31,91.93,93.92,89.05,89.73,14598
2020-04-01,85.28,85.55,82.76,82.84,13290
2020-04-02,83.39,86.98,82.23,86.44,19876
2020-04-03,86.5,87.43,82.8,83.02,15858
2020-04-06,90.37,90.95,87.68,88.84,12366
2020-04-07,93.13,94.08,90.4,91.56,19387
2020-04-08,91.99,94.22,90.52,93.88,13994
2020-04-09,98.39,104.34,98.39,103.23,18520
2020-04-13,99.83,100.54,97.27,98.79,14649
2020-04-14,101.13,101.18,93.61,95.93,18194
2020-04-15,91.48,91.82,90.24,90.62,13844
2020-04-16,89.55,89.82,87.03,87.53,17663
2020-04-17,92.53,94.94,91.38,94.89,16176
2020-04-20,93.81,94.66,90.43,91.45,14141
2020-04-21,89.33,91.33,88.81,89.49,15033
2020-04-22,90.57,91.84,89.66,90.01,11430
2020-04-23,90.66,91.24,89.33,89.64,21056
2020-04-24,90.38,91.06,88.46,90.97,14952
2020-04-27,93.04,95.59,93.0,94.72,12559
2020-04-28,96.62,98.32,94.99,95.69,19757
