timestamp,open,high,low,close,volume
2020-01-02,53.68,54.0,53.49,53.66,1482
2020-01-03,52.97,53.58,52.92,53.37,2842
2020-01-06,52.82,53.16,52.78,52.97,1355
2020-01-07,52.9,52.92,52.45,52.73,1070
2020-01-08,53.06,53.29,52.83,53.04,1525
2020-01-09,52.81,52.81,52.46,52.63,1216
2020-01-10,52.65,52.86,52.46,52.48,1383
2020-01-13,52.15,52.15,51.81,52.04,1052
2020-01-14,50.24,50.7,49.35,49.42,3064
2020-01-15,48.34,48.56,47.96,48.08,1932
2020-01-16,48.55,49.28,48.47,49.14,1497
2020-01-17,49.13,49.22,48.52,49.02,1042
2020-01-21,49.24,49.84,49.12,49.27,1347
2020-01-22,48.89,48.94,48.28,48.47,793
2020-01-23,48.13,48.41,47.96,48.24,967
2020-01-24,47.99,47.99,47.16,47.41,1596
2020-01-27,46.97,47.38,46.89,47.09,1766
2020-01-28,47.46,47.75,47.26,47.41,952
2020-01-29,47.62,47.86,47.24,47.38,1572
2020-01-30,47.27,47.78,47.02,47.73,2495
2020-01-31,47.31,47.35,46.73,46.92,2104
2020-02-03,47.41,47.69,47.01,47.14,1449
2020-02-04,47.5,47.54,47.18,47.23,1410
2020-02-05,47.49,47.93,47.37,47.85,1636
2020-02-06,48.09,48.11,47.82,48.03,1165
2020-02-07,47.64,47.96,47.46,47.95,1370
2020-02-10,47.58,47.82,47.4,47.8,825
2020-02-11,48.15,48.2,47.92,48.14,1131
2020-02-12,48.32,48.45,47.81,47.88,789
2020-02-13,47.71,48.11,47.62,48.01,1002
2020-02-14,47.85,48.21,47.72,48.17,963
2020-02-18,47.73,47.79,46.51,46.99,1531
2020-02-19,47.12,47.31,46.96,47.07,743
2020-02-20,46.87,47.37,46.66,47.34,2074
2020-02-21,47.51,47.56,47.08,47.44,2022
2020-02-24,46.45,46.91,46.24,46.5,3087
2020-02-25,46.26,46.63,44.93,45.1,6084
2020-02-26,45.41,45.62,44.27,44.36,6119
2020-02-27,43.46,44.28,42.66,42.66,8674
2020-02-28,41.55,41.69,39.73,39.73,12290
2020-03-02,40.07,41.53,39.43,41.32,7238
2020-03-03,41.56,42.84,40.01,40.99,12193
2020-03-04,40.5,41.37,39.94,41.23,5591
2020-03-05,39.53,39.83,38.55,38.77,6027
2020-03-06,37.07,37.64,36.47,36.71,7468
2020-03-09,33.9,34.43,32.2,32.76,5138
2020-03-10,33.72,35.0,32.25,34.68,5709
2020-03-11,33.52,33.73,31.99,32.44,9391
2020-03-12,29.49,30.79,27.1,27.14,8526
2020-03-13,28.15,30.27,27.75,30.22,8316
2020-03-16,26.8,29.19,26.27,28.26,7152
2020-03-17,26.31,30.57,25.86,29.09,10120
2020-03-18,27.38,28.86,27.06,27.06,13281
2020-03-19,26.96,29.07,26.28,28.62,13770
2020-03-20,27.11,27.87,26.22,26.33,12918
2020-03-23,25.78,26.83,25.22,25.4,13082
2020-03-24,26.75,28.76,26.37,28.69,9628
2020-03-25,29.25,30.26,27.75,30.03,12233
2020-03-26,29.37,31.34,29.05,30.94,10069
2020-03-27,29.55,31.25,29.07,30.6,8085
2020-03-30,28.94,29.63,28.87,29.5,6057
2020-03-31,29.3,29.71,28.14,28.57,5219
2020-04-01,27.07,27.24,26.18,26.35,5123
2020-04-02,26.64,27.5,26.41,26.94,7604
2020-04-03,27.13,27.32,25.89,25.9,6018
2020-04-06,28.14,28.49,27.49,28.33,4581
2020-04-07,30.35,30.58,28.77,29.19,8443
2020-04-08,29.21,30.26,28.65,30.02,6552
2020-04-09,31.4,33.87,31.39,33.28,9586
2020-04-13,32.11,32.55,31.38,31.84,6657
2020-04-14,31.95,32.12,29.54,30.12,7531
2020-04-15,28.95,29.08,28.19,28.34,4684
2020-04-16,27.76,27.87,26.63,26.8,4495
2020-04-17,28.63,28.72,27.77,28.35,4849
2020-04-20,28.06,28.86,27.34,27.49,4466
2020-04-21,26.81,27.21,26.47,26.94,3966
2020-04-22,27.2,27.34,26.67,26.92,2941
2020-04-23,27.03,27.17,26.39,26.6,3703
2020-04-24,26.91,27.25,26.35,27.21,2399
2020-04-27,27.7,28.47,27.7,28.47,2363
2020-04-28,29.43,29.74,28.57,28.94,4436
2020-04-29,29.84,30.42,29.63,29.97,3723
2020-04-30,28.94,29.57,28.75,28.97,4495
2020-05-01,28.05,28.28,27.23,27.47,3149
2020-05-04,26.54,27.28,26.51,27.06,3134
2020-05-05,27.26,27.27,26.06,26.17,2855
2020-05-06,25.97,26.03,25.0,25.2,3074
2020-05-07,25.93,26.06,25.23,25.27,3187
